tweet_id,retweet_count,favorite_count,create_date
892420643555336193,8853,39467,2017-08-01 16:23:56+00:00
892177421306343426,6514,33819,2017-08-01 00:17:27+00:00
891815181378084864,4328,25461,2017-07-31 00:18:03+00:00
891689557279858688,8964,42908,2017-07-30 15:58:51+00:00
891327558926688256,9774,41048,2017-07-29 16:00:24+00:00
891087950875897856,3261,20562,2017-07-29 00:08:17+00:00
890971913173991426,2158,12041,2017-07-28 16:27:12+00:00
890729181411237888,16716,56848,2017-07-28 00:22:40+00:00
890609185150312448,4429,28226,2017-07-27 16:25:51+00:00
890240255349198849,7711,32467,2017-07-26 15:59:51+00:00
890006608113172480,7624,31166,2017-07-26 00:31:25+00:00
889880896479866881,5156,28268,2017-07-25 16:11:53+00:00
889665388333682689,8538,38818,2017-07-25 01:55:32+00:00
889638837579907072,4735,27672,2017-07-25 00:10:02+00:00
889531135344209921,2321,15359,2017-07-24 17:02:04+00:00
889278841981685760,5637,25652,2017-07-24 00:19:32+00:00
888917238123831296,4709,29611,2017-07-23 00:22:39+00:00
888804989199671297,4559,26080,2017-07-22 16:56:37+00:00
888554962724278272,3732,20290,2017-07-22 00:23:06+00:00
888078434458587136,3653,22201,2017-07-20 16:49:33+00:00
887705289381826560,5609,30779,2017-07-19 16:06:48+00:00
887517139158093824,12082,46959,2017-07-19 03:39:09+00:00
887473957103951883,18781,69871,2017-07-19 00:47:34+00:00
887343217045368832,10737,34222,2017-07-18 16:08:03+00:00
887101392804085760,6167,31061,2017-07-18 00:07:08+00:00
886983233522544640,8084,35859,2017-07-17 16:17:36+00:00
886736880519319552,3443,12306,2017-07-16 23:58:41+00:00
886680336477933568,4610,22798,2017-07-16 20:14:00+00:00
886366144734445568,3316,21524,2017-07-15 23:25:31+00:00
886267009285017600,4,117,2017-07-15 16:51:35+00:00
886258384151887873,6523,28469,2017-07-15 16:17:19+00:00
886054160059072513,108,0,2017-07-15 02:45:48+00:00
885984800019947520,7097,33382,2017-07-14 22:10:11+00:00
885528943205470208,6683,36689,2017-07-13 15:58:47+00:00
885518971528720385,3899,20788,2017-07-13 15:19:09+00:00
885311592912609280,19297,0,2017-07-13 01:35:06+00:00
885167619883638784,4556,22367,2017-07-12 16:03:00+00:00
884925521741709313,16439,68152,2017-07-12 00:01:00+00:00
884876753390489601,6096,28514,2017-07-11 20:47:12+00:00
884562892145688576,5100,24765,2017-07-11 00:00:02+00:00
884441805382717440,5856,27478,2017-07-10 15:58:53+00:00
884247878851493888,21298,74423,2017-07-10 03:08:17+00:00
884162670584377345,3128,20771,2017-07-09 21:29:42+00:00
883838122936631299,3586,22349,2017-07-09 00:00:04+00:00
883482846933004288,10407,46860,2017-07-08 00:28:19+00:00
883360690899218434,3825,22986,2017-07-07 16:22:55+00:00
883117836046086144,6949,37914,2017-07-07 00:17:54+00:00
882992080364220416,4122,24445,2017-07-06 15:58:11+00:00
882762694511734784,5134,28903,2017-07-06 00:46:41+00:00
882627270321602560,6342,28382,2017-07-05 15:48:34+00:00
882268110199369728,12118,45880,2017-07-04 16:01:23+00:00
882045870035918850,5203,29900,2017-07-04 01:18:17+00:00
881906580714921986,3533,24773,2017-07-03 16:04:48+00:00
881666595344535552,11099,51522,2017-07-03 00:11:11+00:00
881633300179243008,7,129,2017-07-02 21:58:53+00:00
881536004380872706,16570,50199,2017-07-02 15:32:16+00:00
881268444196462592,5358,23501,2017-07-01 21:49:04+00:00
880935762899988482,2886,17346,2017-06-30 23:47:07+00:00
880872448815771648,3989,21734,2017-06-30 19:35:32+00:00
880465832366813184,6546,29075,2017-06-29 16:39:47+00:00
880221127280381952,4436,27640,2017-06-29 00:27:25+00:00
880095782870896641,4533,28150,2017-06-28 16:09:20+00:00
879862464715927552,3642,22667,2017-06-28 00:42:13+00:00
879674319642796034,10,315,2017-06-27 12:14:36+00:00
879492040517615616,3323,23822,2017-06-27 00:10:17+00:00
879415818425184262,45849,107956,2017-06-26 19:07:24+00:00
879376492567855104,3261,17099,2017-06-26 16:31:08+00:00
879130579576475649,7181,0,2017-06-26 00:13:58+00:00
879050749262655488,4941,23022,2017-06-25 18:56:45+00:00
879008229531029506,2812,19317,2017-06-25 16:07:47+00:00
878776093423087618,4319,19763,2017-06-25 00:45:22+00:00
878604707211726852,7582,30931,2017-06-24 13:24:20+00:00
878404777348136964,1349,0,2017-06-24 00:09:53+00:00
878316110768087041,6965,0,2017-06-23 18:17:33+00:00
878281511006478336,1349,7913,2017-06-23 16:00:04+00:00
878057613040115712,7181,42876,2017-06-23 01:10:23+00:00
877736472329191424,17300,71144,2017-06-22 03:54:17+00:00
877611172832227328,83,0,2017-06-21 19:36:23+00:00
877556246731214848,3994,23258,2017-06-21 15:58:08+00:00
877316821321428993,5414,27907,2017-06-21 00:06:44+00:00
877201837425926144,5880,27755,2017-06-20 16:29:50+00:00
876838120628539392,3506,21125,2017-06-19 16:24:33+00:00
876537666061221889,4800,23869,2017-06-18 20:30:39+00:00
876484053909872640,2511,19163,2017-06-18 16:57:37+00:00
876120275196170240,4903,28490,2017-06-17 16:52:05+00:00
875747767867523072,4497,25773,2017-06-16 16:11:53+00:00
875144289856114688,5081,22185,2017-06-15 00:13:52+00:00
875097192612077568,6342,27997,2017-06-14 21:06:43+00:00
875021211251597312,4922,26022,2017-06-14 16:04:48+00:00
874680097055178752,4875,28439,2017-06-13 17:29:20+00:00
874434818259525634,15546,0,2017-06-13 01:14:41+00:00
874296783580663808,4308,26651,2017-06-12 16:06:11+00:00
874057562936811520,4125,23134,2017-06-12 00:15:36+00:00
874012996292530176,11007,35501,2017-06-11 21:18:31+00:00
873697596434513921,12518,0,2017-06-11 00:25:14+00:00
873580283840344065,4143,24837,2017-06-10 16:39:04+00:00
873337748698140672,1667,0,2017-06-10 00:35:19+00:00
873213775632977920,1667,7467,2017-06-09 16:22:42+00:00
872967104147763200,5669,28031,2017-06-09 00:02:31+00:00
872820683541237760,3884,15029,2017-06-08 14:20:41+00:00
872668790621863937,31,0,2017-06-08 04:17:07+00:00
872620804844003328,3911,21309,2017-06-08 01:06:27+00:00
872486979161796608,9429,41606,2017-06-07 16:14:40+00:00
872261713294495745,6649,35085,2017-06-07 01:19:32+00:00
872122724285648897,8549,35324,2017-06-06 16:07:15+00:00
871879754684805121,11918,39090,2017-06-06 00:01:46+00:00
871762521631449091,3678,20787,2017-06-05 16:15:56+00:00
871515927908634625,3628,20730,2017-06-04 23:56:03+00:00
871166179821445120,5991,0,2017-06-04 00:46:17+00:00
871102520638267392,5764,21461,2017-06-03 20:33:19+00:00
871032628920680449,3999,23255,2017-06-03 15:55:36+00:00
870804317367881728,6393,33791,2017-06-03 00:48:22+00:00
870726314365509632,3,121,2017-06-02 19:38:25+00:00
870656317836468226,2817,12819,2017-06-02 15:00:16+00:00
870374049280663552,27680,85011,2017-06-01 20:18:38+00:00
870308999962521604,4384,22453,2017-06-01 16:00:09+00:00
870063196459192321,8840,37771,2017-05-31 23:43:25+00:00
869988702071779329,25661,0,2017-05-31 18:47:24+00:00
869772420881756160,10663,43710,2017-05-31 04:27:59+00:00
869702957897576449,6728,29116,2017-05-30 23:51:58+00:00
869596645499047938,3327,16476,2017-05-30 16:49:31+00:00
869227993411051520,4023,21112,2017-05-29 16:24:37+00:00
868880397819494401,12518,55098,2017-05-28 17:23:24+00:00
868639477480148993,2240,0,2017-05-28 01:26:04+00:00
868622495443632128,6275,28295,2017-05-28 00:18:35+00:00
868552278524837888,2240,10539,2017-05-27 19:39:34+00:00
867900495410671616,4439,24964,2017-05-26 00:29:37+00:00
867774946302451713,7788,35179,2017-05-25 16:10:44+00:00
867421006826221569,2697,16755,2017-05-24 16:44:18+00:00
867072653475098625,135,0,2017-05-23 17:40:04+00:00
867051520902168576,8425,33420,2017-05-23 16:16:06+00:00
866816280283807744,32883,0,2017-05-23 00:41:20+00:00
866720684873056260,5168,20888,2017-05-22 18:21:28+00:00
866686824827068416,3727,20070,2017-05-22 16:06:55+00:00
866450705531457537,32883,106827,2017-05-22 00:28:40+00:00
866334964761202691,15546,54720,2017-05-21 16:48:45+00:00
866094527597207552,8952,0,2017-05-21 00:53:21+00:00
865718153858494464,6008,26640,2017-05-19 23:57:46+00:00
865359393868664832,5384,27530,2017-05-19 00:12:11+00:00
865006731092295680,8209,29063,2017-05-18 00:50:50+00:00
864873206498414592,9361,33651,2017-05-17 16:00:15+00:00
864279568663928832,3266,15195,2017-05-16 00:41:21+00:00
864197398364647424,9616,31459,2017-05-15 19:14:50+00:00
863907417377173506,4441,21477,2017-05-15 00:02:33+00:00
863553081350529029,4489,15935,2017-05-14 00:34:33+00:00
863471782782697472,2687,0,2017-05-13 19:11:30+00:00
863432100342583297,5664,24829,2017-05-13 16:33:49+00:00
863427515083354112,105,2363,2017-05-13 16:15:35+00:00
863079547188785154,1195,9094,2017-05-12 17:12:53+00:00
863062471531167744,2687,8945,2017-05-12 16:05:02+00:00
862831371563274240,5457,20011,2017-05-12 00:46:44+00:00
862722525377298433,3809,17779,2017-05-11 17:34:13+00:00
862457590147678208,5388,21492,2017-05-11 00:01:27+00:00
862096992088072192,21840,66437,2017-05-10 00:08:34+00:00
861769973181624320,37911,0,2017-05-09 02:29:07+00:00
861383897657036800,11528,37744,2017-05-08 00:54:59+00:00
861288531465048066,4479,18032,2017-05-07 18:36:02+00:00
861005113778896900,4119,17538,2017-05-06 23:49:50+00:00
860981674716409858,2334,0,2017-05-06 22:16:42+00:00
860924035999428608,882,0,2017-05-06 18:27:40+00:00
860563773140209665,2334,7878,2017-05-05 18:36:06+00:00
860524505164394496,5698,24678,2017-05-05 16:00:04+00:00
860276583193509888,3745,19154,2017-05-04 23:34:55+00:00
860184849394610176,6295,17474,2017-05-04 17:30:24+00:00
860177593139703809,33421,0,2017-05-04 17:01:34+00:00
859924526012018688,4349,20021,2017-05-04 00:15:58+00:00
859851578198683649,3780,16105,2017-05-03 19:26:06+00:00
859607811541651456,1704,19476,2017-05-03 03:17:27+00:00
859196978902773760,25661,75193,2017-05-02 00:04:57+00:00
859074603037188101,14740,35553,2017-05-01 15:58:40+00:00
858860390427611136,8805,0,2017-05-01 01:47:28+00:00
858843525470990336,3771,16304,2017-05-01 00:40:27+00:00
858471635011153920,5271,22640,2017-04-30 00:02:42+00:00
858107933456039936,3154,16524,2017-04-28 23:57:28+00:00
857989990357356544,2812,16952,2017-04-28 16:08:49+00:00
857746408056729600,11524,36021,2017-04-28 00:00:54+00:00
857393404942143489,1785,6236,2017-04-27 00:38:11+00:00
857263160327368704,4934,21041,2017-04-26 16:00:39+00:00
857214891891077121,20,242,2017-04-26 12:48:51+00:00
857062103051644929,183,0,2017-04-26 02:41:43+00:00
857029823797047296,4364,19910,2017-04-26 00:33:27+00:00
856602993587888130,11633,0,2017-04-24 20:17:23+00:00
856543823941562368,3131,17135,2017-04-24 16:22:16+00:00
856526610513747968,2068,12446,2017-04-24 15:13:52+00:00
856330835276025856,731,0,2017-04-24 02:15:55+00:00
856288084350160898,17,545,2017-04-23 23:26:03+00:00
856282028240666624,6841,29086,2017-04-23 23:01:59+00:00
855862651834028034,27,320,2017-04-22 19:15:32+00:00
855860136149123072,1058,4407,2017-04-22 19:05:32+00:00
855857698524602368,2313,12498,2017-04-22 18:55:51+00:00
855851453814013952,19196,47844,2017-04-22 18:31:02+00:00
855818117272018944,5943,28056,2017-04-22 16:18:34+00:00
855459453768019968,8987,31657,2017-04-21 16:33:22+00:00
855245323840757760,6568,0,2017-04-21 02:22:29+00:00
855138241867124737,50,0,2017-04-20 19:16:59+00:00
854732716440526848,6690,24188,2017-04-19 16:25:34+00:00
854482394044301312,7608,31131,2017-04-18 23:50:52+00:00
854365224396361728,5159,20046,2017-04-18 16:05:17+00:00
854120357044912130,8285,33911,2017-04-17 23:52:16+00:00
854010172552949760,3433,17169,2017-04-17 16:34:26+00:00
853760880890318849,6403,30414,2017-04-17 00:03:50+00:00
853639147608842240,11265,37198,2017-04-16 16:00:07+00:00
853299958564483072,3928,16508,2017-04-15 17:32:18+00:00
852936405516943360,2243,0,2017-04-14 17:27:40+00:00
852912242202992640,2037,9658,2017-04-14 15:51:39+00:00
852672615818899456,2388,15939,2017-04-13 23:59:28+00:00
852553447878664193,3885,17492,2017-04-13 16:05:56+00:00
852311364735569921,10961,35325,2017-04-13 00:03:59+00:00
852226086759018497,7570,21378,2017-04-12 18:25:07+00:00
852189679701164033,1741,12217,2017-04-12 16:00:27+00:00
851953902622658560,10706,0,2017-04-12 00:23:33+00:00
851861385021730816,23,0,2017-04-11 18:15:55+00:00
851591660324737024,3819,17300,2017-04-11 00:24:08+00:00
851464819735769094,7855,25944,2017-04-10 16:00:07+00:00
851224888060895234,6350,22090,2017-04-10 00:06:42+00:00
850753642995093505,10352,33348,2017-04-08 16:54:09+00:00
850380195714523136,2915,13994,2017-04-07 16:10:12+00:00
850333567704068097,367,3647,2017-04-07 13:04:55+00:00
850145622816686080,4244,17519,2017-04-07 00:38:06+00:00
850019790995546112,5459,21944,2017-04-06 16:18:05+00:00
849776966551130114,8404,32390,2017-04-06 00:13:11+00:00
849668094696017920,5513,0,2017-04-05 17:00:34+00:00
849412302885593088,3487,17039,2017-04-05 00:04:08+00:00
849336543269576704,2101,12240,2017-04-04 19:03:06+00:00
849051919805034497,7396,32617,2017-04-04 00:12:06+00:00
848690551926992896,4826,27104,2017-04-03 00:16:10+00:00
848324959059550208,4037,20229,2017-04-02 00:03:26+00:00
848213670039564288,832,8834,2017-04-01 16:41:12+00:00
848212111729840128,3444,17618,2017-04-01 16:35:01+00:00
847978865427394560,3652,0,2017-04-01 01:08:10+00:00
847971574464610304,482,0,2017-04-01 00:39:12+00:00
847962785489326080,5730,25296,2017-04-01 00:04:17+00:00
847842811428974592,1522,5935,2017-03-31 16:07:33+00:00
847617282490613760,468,7558,2017-03-31 01:11:22+00:00
847606175596138505,3774,20208,2017-03-31 00:27:14+00:00
847251039262605312,4800,22036,2017-03-30 00:56:03+00:00
847157206088847362,6572,21588,2017-03-29 18:43:12+00:00
847116187444137987,3583,23108,2017-03-29 16:00:12+00:00
846874817362120707,4404,21685,2017-03-29 00:01:05+00:00
846514051647705089,13076,48410,2017-03-28 00:07:32+00:00
846505985330044928,3492,15304,2017-03-27 23:35:28+00:00
846153765933735936,10226,34394,2017-03-27 00:15:53+00:00
846139713627017216,10972,33188,2017-03-26 23:20:02+00:00
846042936437604353,3224,17256,2017-03-26 16:55:29+00:00
845812042753855489,9894,31737,2017-03-26 01:38:00+00:00
845677943972139009,5365,27154,2017-03-25 16:45:08+00:00
845459076796616705,15071,0,2017-03-25 02:15:26+00:00
845397057150107648,2072,8241,2017-03-24 22:08:59+00:00
845306882940190720,6039,25225,2017-03-24 16:10:40+00:00
845098359547420673,8640,0,2017-03-24 02:22:04+00:00
844979544864018432,2909,14738,2017-03-23 18:29:57+00:00
844973813909606400,3617,16361,2017-03-23 18:07:10+00:00
844704788403113984,11633,42022,2017-03-23 00:18:10+00:00
844580511645339650,3533,17871,2017-03-22 16:04:20+00:00
844223788422217728,2450,14753,2017-03-21 16:26:50+00:00
843981021012017153,3285,16327,2017-03-21 00:22:10+00:00
843856843873095681,5220,23211,2017-03-20 16:08:44+00:00
843604394117681152,3081,18310,2017-03-19 23:25:35+00:00
843235543001513987,6852,23315,2017-03-18 22:59:54+00:00
842892208864923648,56625,0,2017-03-18 00:15:37+00:00
842846295480000512,4023,16440,2017-03-17 21:13:10+00:00
842765311967449089,1439,7321,2017-03-17 15:51:22+00:00
842535590457499648,3937,19637,2017-03-17 00:38:32+00:00
842163532590374912,6568,26569,2017-03-16 00:00:07+00:00
842115215311396866,3386,15204,2017-03-15 20:48:07+00:00
841833993020538882,17504,0,2017-03-15 02:10:39+00:00
841680585030541313,8748,27854,2017-03-14 16:01:03+00:00
841439858740625411,4168,13755,2017-03-14 00:04:30+00:00
841320156043304961,6080,21402,2017-03-13 16:08:50+00:00
841314665196081154,5312,17305,2017-03-13 15:47:01+00:00
841077006473256960,5991,24926,2017-03-13 00:02:39+00:00
840761248237133825,1972,0,2017-03-12 03:07:56+00:00
840728873075638272,18285,0,2017-03-12 00:59:17+00:00
840698636975636481,3,197,2017-03-11 22:59:09+00:00
840696689258311684,1116,13377,2017-03-11 22:51:24+00:00
840632337062862849,1972,9761,2017-03-11 18:35:42+00:00
840370681858686976,5146,17918,2017-03-11 01:15:58+00:00
840268004936019968,6497,20950,2017-03-10 18:27:58+00:00
839990271299457024,2597,14640,2017-03-10 00:04:21+00:00
839549326359670784,8805,29957,2017-03-08 18:52:12+00:00
839290600511926273,158,0,2017-03-08 01:44:07+00:00
839239871831150596,7422,29684,2017-03-07 22:22:32+00:00
838952994649550848,4505,21289,2017-03-07 03:22:35+00:00
838921590096166913,2357,12183,2017-03-07 01:17:48+00:00
838916489579200512,38,0,2017-03-07 00:57:32+00:00
838831947270979586,12643,0,2017-03-06 19:21:35+00:00
838561493054533637,1504,11892,2017-03-06 01:26:54+00:00
838476387338051585,5484,24664,2017-03-05 19:48:43+00:00
838201503651401729,11525,0,2017-03-05 01:36:26+00:00
838150277551247360,370,1824,2017-03-04 22:12:52+00:00
838085839343206401,0,150,2017-03-04 17:56:49+00:00
